number,name,status
9,Typing governance process,Active
1,Doing Python Releases 101,Active
0,The Zen of Python,Active
2,Packaging Council governance process,Accepted
1,Defining Python Security Response Team membership and responsibilities,Active
2,The Python Documentation Editorial Board,Active
1,C API Working Group Charter,Active
7,Backwards Compatibility Policy,Active
6,PEP Infrastructure Process,Active
0,Voting Guidelines,Active
9,Python Packaging Authority (PyPA) Governance,Active
2,Annual Release Cycle for Python,Active
5,Python Documentation Translations,Active
3,Python Language Governance,Active
2,Sample reStructuredText PEP Template,Active
2,Procedure for Adding New Modules,Active
8,Style Guide for Python Code,Active
7,Style Guide for C Code,Active
4,Deprecation of Standard Modules,Active
1,CPython platform support,Active
