number,name,status
0,Use decimal.Decimal type for timestamps,Rejected
2,Simplified Package Layout and Partitioning,Rejected
9,Adding an Assignment Expression,Withdrawn
6,Module Version Numbers,Withdrawn
1,BDFL Retirement,April Fool!
0,Static metadata for Distutils,Rejected
5,Qualified Names for Modules,Withdrawn
7,Allow __enter__() methods to skip the statement body,Rejected
6,Changing the version comparison module in Distutils,Superseded
2,Namespace Packages,Rejected
1,Mirroring infrastructure for PyPI,Withdrawn
9,Post import hooks,Withdrawn
5,Adding the pkg_resources module,Rejected
4,Transitioning to the Py3K Standard Library,Withdrawn
7,New Super,Superseded
9,The “make” Statement,Withdrawn
3,Syntax For Dynamic Attribute Access,Rejected
9,Allow str() to return unicode strings,Rejected
5,Path - Object oriented filesystem paths,Rejected
4,Enumerations in Python,Superseded
1,The freeze protocol,Rejected
8,Exception Reorganization for Python 3.0,Rejected
0,Codetags,Rejected
5,Metadata for Python Software Packages 1.2,Superseded
6,User Defined (”,Withdrawn
4,Exception Chaining and Embedded Tracebacks,Superseded
9,Design of the CPython Compiler,Withdrawn
0,Anonymous Block Statements,Rejected
5,Overloadable Boolean Operators,Rejected
2,Byte vectors and String/Unicode Unification,Rejected
9,Python Synchronize/Asynchronize Block,Rejected
6,Make None Callable,Rejected
4,Simple Coroutines via SuspendIteration,Withdrawn
9,Treating Builtins as Constants in the Standard Library,Rejected
5,Resource-Release Support for Generators,Rejected
6,A Case for Top and Bottom Values,Rejected
0,Python Bytecode Verification,Rejected
4,Metadata for Python Software Packages 1.1,Superseded
1,Date/Time Parsing and Formatting,Withdrawn
3,Extend divmod() for Multiple Divisors,Rejected
7,Eliminate Implicit Exception Instantiation,Rejected
5,Enhanced While Loop,Rejected
6,Adding a bytes Object Type,Withdrawn
3,Adding Roman Numeral Literals to Python,Rejected
6,How to Change Python’s Grammar,Withdrawn
0,Reliable Acquisition/Release Pairs,Rejected
5,Interpretation of multiline string constants,Rejected
4,Controlling Generation of Bytecode Files,Withdrawn
9,Special __main__() function in modules,Rejected
4,Integer for-loops,Rejected
8,The Locked Buffer Interface,Withdrawn
7,Support for System Upgrades,Rejected
5,Switching on Multiple Values,Rejected
4,Type Names in the types Module,Rejected
1,Backward Compatibility for the Python 2 Standard Library,Superseded
8,Generators Attributes and Exceptions,Withdrawn
1,Loop Counter Iteration with range and xrange,Rejected
6,Simple Iterator for ints,Rejected
1,Prefixing sys.path by command line option,Rejected
0,uniq method for list objects,Rejected
9,Omit printing newline after newline,Rejected
8,Extended HTTP functionality and WebDAV,Rejected
6,Object Adaptation,Rejected
6,Optimizing Global Variable/Attribute Access,Withdrawn
5,Sorting Dictionaries by Value,Rejected
4,The,Rejected
2,A Database of Installed Python Packages,Rejected
3,Module Repository Upload Mechanism,Withdrawn
6,Docstring Processing System Framework,Rejected
4,Making Classes Look More Like Types,Rejected
8,Docutils Design Specification,Rejected
5,Python Interface Syntax,Rejected
5,Elementwise/Objectwise Operators,Rejected
2,Numeric Kinds,Withdrawn
1,Metadata for Python Software Packages,Superseded
0,Adding a Rational Literal to Python,Rejected
9,Adding a Rational Type to Python,Rejected
8,Reworking Python’s Numeric Model,Withdrawn
1,__findattr__(),Rejected
5,String Interpolation,Superseded
4,Attribute Docstrings,Rejected
6,Python Advanced Library,Withdrawn
6,Docstring Format,Withdrawn
0,"Coroutines, Generators, Continuations",Rejected
3,Collecting information about git,Withdrawn
2,Loop Counter Iteration,Rejected
0,Decoupling the Interpreter Loop,Rejected
1,Adding A New Outer Product Operator,Rejected
9,Multi-dimensional Arrays,Withdrawn
4,Range Literals,Rejected
2,Doing Python Micro Releases,Superseded
9,Sample Plaintext PEP Template,Withdrawn
2,Feature Requests,Withdrawn
8,Supporting Symlinks in Wheels,Deferred
3,Guidelines for Handling Bug Reports,Withdrawn
4,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
0,Statement local namespaces (aka “given” clause),Deferred
8,Generator-sensitivity for Context Variables,Deferred
3,Standard daemon process library,Deferred
4,Disallow using macros as l-values,Deferred
7,Safer subprocess usage using t-strings,Deferred
5,Rich comparison chaining,Deferred
2,A circuit breaking protocol and binary operators,Deferred
4,Removing the LLVM requirement for JIT builds,Deferred
6,Threaded garbage collection,Deferred
7,Add __getdescriptor__ method to metaclass,Deferred
7,Running extension modules using the -m option,Deferred
3,Deterministic cleanup for iterators,Deferred
5,None-aware operators,Deferred
1,The Wheel Binary Package Format 1.9,Deferred
4,Python Web3 Interface,Deferred
9,Protecting cleanup statements from interruptions,Deferred
3,Naming conventions and recipes related to packaging,Deferred
7,New release cycle and introducing long-term support versions,Deferred
6,Programming by Contract for Python,Deferred
3,General purpose decorator clause (aka “@in” clause),Deferred
0,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
8,Standard image protocol and class,Deferred
0,Optimizing access to globals,Deferred
7,Logging Usage in the Standard Library,Deferred
3,Copyable Iterators,Deferred
2,Simple Implicit Lambda,Deferred
9,Stackless Python,Deferred
6,Enhanced Argument Tuples,Deferred
3,Attribute Access Handlers,Deferred
9,Pgen Module for Python,Deferred
3,Python Online Help,Deferred
7,Optimized Access to Module Namespaces,Deferred
2,Web Library Enhancements,Deferred
1,Python Governance Voting Process,Final
0,Miscellaneous Python 3.0 Plans,Final
0,Python 3000,Final
9,Things that will Not Change in Python 3000,Final
3,Python Language Moratorium,Final
2,Migrating from hg.python.org to GitHub,Final
6,Python 3.9 Release Schedule,Final
1,Using GitHub Issues for CPython,Final
7,Python 3.7 Release Schedule,Final
1,Package Index Name Retention,Final
2,Procedure for Backwards-Incompatible Changes,Final
9,Python 3.8 Release Schedule,Final
4,Python 3.6 Release Schedule,Final
8,Python 3.5 Release Schedule,Final
2,Python 3.2 Release Schedule,Final
4,Removal of the PyPI Mirror Authenticity API,Final
0,Removing External Hosting Support on PyPI,Final
9,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
4,Python 2.8 Un-release Schedule,Final
9,Python 3.4 Release Schedule,Final
5,Python 3.1 Release Schedule,Final
8,Transitioning to release-file hosting on PyPI,Superseded
8,Python 3.3 Release Schedule,Final
0,Externally Maintained Packages,Final
